Team ID , Team  , Region , Country , Track , Kind , Size , Status , Year
4836,IISER-Tirupati-India,Asia,India,Therapeutics,Collegiate,17,Accepted,2023
4693,IISER-TVM,Asia,India,Diagnostics,Collegiate,22,Accepted,2023
4898,IIT-Delhi,Asia,India,Bioremediation,Collegiate,20,Accepted,2023
4931,IIT-Madras,Asia,India,Foundational Advance,Collegiate,20,Accepted,2023
4838,IIT-Roorkee,Asia,India,Diagnostics,Collegiate,11,Accepted,2023
4896,IITChicago,North America,United States,Therapeutics,Collegiate,5,Accepted,2023
4818,INSAENSLyon1,Europe,France,Therapeutics,Collegiate,23,Accepted,2023
4807,IOANNINA,Europe,Greece,Therapeutics,Collegiate,10,Accepted,2023
4577,Ionis-Paris,Europe,France,Climate Crisis,Collegiate,15,Accepted,2023
4952,ISPanama,Latin America,Panama,High School,High_school,9,Accepted,2023
4940,iZJU-China,Asia,China,Bioremediation,Collegiate,23,Accepted,2023
4955,Japan-United,Asia,Japan,High School,High_school,23,Accepted,2023
4921,JCVI-UCSD,North America,United States,Climate Crisis,Collegiate,12,Accepted,2023
4759,Jiangnan-China,Asia,China,Biomanufacturing,Collegiate,28,Accepted,2023
4840,Jiangsu-United,Asia,China,High School,Commercial,4,Accepted,2023
4980,Jilin-China,Asia,China,Therapeutics,Collegiate,3,Accepted,2023
4609,JLU-China,Asia,China,Therapeutics,Collegiate,21,Accepted,2023
4833,JLU-NBBMS,Asia,China,Therapeutics,Collegiate,18,Accepted,2023
4650,KCIS-Xiugang-Taipei,Asia,Taiwan,High School,High_school,22,Accepted,2023
4584,KCL-UK,Europe,United Kingdom,Diagnostics,Collegiate,17,Accepted,2023
4863,Keystone,Asia,China,High School,High_school,19,Accepted,2023
4869,Korea-HS,Asia,"Korea, Republic Of",High School,Commercial,22,Accepted,2023
4953,KUAS-SEOUL,Asia,"Korea, Republic Of",Diagnostics,Collegiate,17,Accepted,2023
4661,KULeuven,Europe,Belgium,Biomanufacturing,Collegiate,15,Accepted,2023
4655,Kyoto,Asia,Japan,Agriculture,Collegiate,14,Accepted,2023
4683,Lambert-GA,North America,United States,High School,High_school,17,Accepted,2023
4620,Latvia-Riga,Europe,Latvia,Foundational Advance,Collegiate,20,Accepted,2023
4721,Leiden,Europe,Netherlands,Biomanufacturing,Collegiate,21,Accepted,2023
4754,Lethbridge,North America,Canada,Agriculture,Collegiate,25,Accepted,2023
4599,LethbridgeHS,North America,Canada,High School,High_school,14,Accepted,2023
4805,LINKS-China,Asia,China,High School,Commercial,30,Accepted,2023
4977,Liuan-Shanghai,Asia,China,High School,Commercial,21,Accepted,2023
5028,LJCDSCalifornia,North America,United States,High School,High_school,3,Accepted,2023
4745,Lund,Europe,Sweden,Bioremediation,Collegiate,25,Accepted,2023
4788,LZU-CHINA,Asia,China,Food & Nutrition,Collegiate,38,Accepted,2023
5019,Makerere-Uganda,Africa,Uganda,Environment(P),Collegiate,1,Pending,2023
5029,Manual-KY,North America,United States,High School,High_school,6,Accepted,2023
4729,Marburg,Europe,Germany,Foundational Advance,Collegiate,27,Accepted,2023
4608,McGill,North America,Canada,Therapeutics,Collegiate,21,Accepted,2023
4751,McMaster-Canada,North America,Canada,Diagnostics,Collegiate,21,Accepted,2023
4819,McMasterU,North America,Canada,Therapeutics,Collegiate,21,Accepted,2023
4875,Metropolis-Shanghai,Asia,China,High School,Commercial,10,Accepted,2023
4682,MetroTorontoHS,North America,Canada,High School,High_school,2,Accepted,2023
4858,Michigan,North America,United States,Diagnostics,Collegiate,30,Accepted,2023
4652,Mingdao,Asia,Taiwan,High School,High_school,34,Accepted,2023
4856,Missouri-Miners,North America,United States,Diagnostics,Collegiate,4,Accepted,2023
4764,MIT,North America,United States,Therapeutics,Collegiate,7,Accepted,2023
4641,MIT-MAHE,Asia,India,Bioremediation,Collegiate,33,Accepted,2023
4697,Montpellier,Europe,France,Diagnostics,Collegiate,12,Accepted,2023
4665,MSP-Maastricht,Europe,Netherlands,Biomanufacturing,Collegiate,13,Accepted,2023
4574,Munich,Europe,Germany,Therapeutics,Collegiate,23,Accepted,2023
5016,MunichBioinformatics,Europe,Germany,Software & AI,Collegiate,9,Accepted,2023
4886,Nanjing-BioX,Asia,China,High School,Commercial,21,Accepted,2023
4779,Nanjing-BioXstem,Asia,China,High School,Commercial,29,Accepted,2023
4605,Nanjing-China,Asia,China,Biomanufacturing,Collegiate,31,Accepted,2023
4606,Nanjing-NFLS,Asia,China,High School,High_school,16,Accepted,2023
5022,NANJING-NFLSFC,Asia,China,High School,High_school,1,Accepted,2023
4885,Nanjing-SDG,Asia,China,High School,Commercial,19,Accepted,2023
4709,Nantes,Europe,France,Therapeutics,Collegiate,20,Accepted,2023
4613,NAU-CHINA,Asia,China,Food & Nutrition,Collegiate,41,Accepted,2023
